ID	Gene Name	Species	GOTERM_BP_DIRECT
VTCN1	V-set domain containing T cell activation inhibitor 1(VTCN1)	Homo sapiens	GO:0001562~response to protozoan,GO:0002250~adaptive immune response,GO:0042102~positive regulation of T cell proliferation,GO:0050868~negative regulation of T cell activation,GO:0072602~interleukin-4 secretion,GO:0072643~interferon-gamma secretion,GO:1900042~positive regulation of interleukin-2 secretion,
WFDC12	WAP four-disulfide core domain 12(WFDC12)	Homo sapiens	GO:0010951~negative regulation of endopeptidase activity,GO:0042742~defense response to bacterium,
WFDC3	WAP four-disulfide core domain 3(WFDC3)	Homo sapiens	GO:0010951~negative regulation of endopeptidase activity,
WNK4	WNK lysine deficient protein kinase 4(WNK4)	Homo sapiens	GO:0006468~protein phosphorylation,GO:0006811~ion transport,GO:0006821~chloride transport,GO:0008104~protein localization,GO:0010766~negative regulation of sodium ion transport,GO:0032414~positive regulation of ion transmembrane transporter activity,GO:0035556~intracellular signal transduction,GO:0050794~regulation of cellular process,GO:0050801~ion homeostasis,GO:0070294~renal sodium ion absorption,GO:0072156~distal tubule morphogenesis,GO:0090188~negative regulation of pancreatic juice secretion,GO:2000021~regulation of ion homeostasis,
WNT7A	Wnt family member 7A(WNT7A)	Homo sapiens	GO:0000578~embryonic axis specification,GO:0001502~cartilage condensation,GO:0001525~angiogenesis,GO:0002062~chondrocyte differentiation,GO:0007269~neurotransmitter secretion,GO:0007409~axonogenesis,GO:0007416~synapse assembly,GO:0007548~sex differentiation,GO:0008105~asymmetric protein localization,GO:0009953~dorsal/ventral pattern formation,GO:0010595~positive regulation of endothelial cell migration,GO:0014719~skeletal muscle satellite cell activation,GO:0014834~skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration,GO:0016055~Wnt signaling pathway,GO:0021707~cerebellar granule cell differentiation,GO:0021846~cell proliferation in forebrain,GO:0022009~central nervous system vasculogenesis,GO:0030010~establishment of cell polarity,GO:0031133~regulation of axon diameter,GO:0032355~response to estradiol,GO:0035019~somatic stem cell population maintenance,GO:0035115~embryonic forelimb morphogenesis,GO:0035116~embryonic hindlimb morphogenesis,GO:0035567~non-canonical Wnt signaling pathway,GO:0035659~Wnt signaling pathway involved in wound healing, spreading of epidermal cells,GO:0036465~synaptic vesicle recycling,GO:0042733~embryonic digit morphogenesis,GO:0043066~negative regulation of apoptotic process,GO:0043627~response to estrogen,GO:0045165~cell fate commitment,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046330~positive regulation of JNK cascade,GO:0048103~somatic stem cell division,GO:0048864~stem cell development,GO:0050768~negative regulation of neurogenesis,GO:0051965~positive regulation of synapse assembly,GO:0060021~palate development,GO:0060054~positive regulation of epithelial cell proliferation involved in wound healing,GO:0060066~oviduct development,GO:0060070~canonical Wnt signaling pathway,GO:0060997~dendritic spine morphogenesis,GO:0061038~uterus morphogenesis,GO:0070307~lens fiber cell development,GO:0071560~cellular response to transforming growth factor beta stimulus,GO:0090263~positive regulation of canonical Wnt signaling pathway,GO:1902474~positive regulation of protein localization to synapse,GO:1904861~excitatory synapse assembly,GO:1904891~positive regulation of excitatory synapse assembly,GO:2000463~positive regulation of excitatory postsynaptic potential,
WNT7B	Wnt family member 7B(WNT7B)	Homo sapiens	GO:0001701~in utero embryonic development,GO:0003338~metanephros morphogenesis,GO:0007257~activation of JUN kinase activity,GO:0007275~multicellular organism development,GO:0016055~Wnt signaling pathway,GO:0016332~establishment or maintenance of polarity of embryonic epithelium,GO:0021871~forebrain regionalization,GO:0022009~central nervous system vasculogenesis,GO:0030182~neuron differentiation,GO:0030324~lung development,GO:0032364~oxygen homeostasis,GO:0032536~regulation of cell projection size,GO:0042592~homeostatic process,GO:0044237~cellular metabolic process,GO:0045165~cell fate commitment,GO:0045669~positive regulation of osteoblast differentiation,GO:0048144~fibroblast proliferation,GO:0048568~embryonic organ development,GO:0048812~neuron projection morphogenesis,GO:0050808~synapse organization,GO:0051384~response to glucocorticoid,GO:0060070~canonical Wnt signaling pathway,GO:0060425~lung morphogenesis,GO:0060428~lung epithelium development,GO:0060482~lobar bronchus development,GO:0060535~trachea cartilage morphogenesis,GO:0060560~developmental growth involved in morphogenesis,GO:0060669~embryonic placenta morphogenesis,GO:0060710~chorio-allantoic fusion,GO:0061180~mammary gland epithelium development,GO:0070307~lens fiber cell development,GO:0071300~cellular response to retinoic acid,GO:0072053~renal inner medulla development,GO:0072054~renal outer medulla development,GO:0072060~outer medullary collecting duct development,GO:0072061~inner medullary collecting duct development,GO:0072089~stem cell proliferation,GO:0072205~metanephric collecting duct development,GO:0072207~metanephric epithelium development,GO:0072236~metanephric loop of Henle development,
WNT8B	Wnt family member 8B(WNT8B)	Homo sapiens	GO:0007165~signal transduction,GO:0007369~gastrulation,GO:0007399~nervous system development,GO:0016055~Wnt signaling pathway,GO:0030182~neuron differentiation,GO:0032355~response to estradiol,GO:0032526~response to retinoic acid,GO:0045165~cell fate commitment,GO:0048263~determination of dorsal identity,GO:0071300~cellular response to retinoic acid,GO:1904886~beta-catenin destruction complex disassembly,
WNT9B	Wnt family member 9B(WNT9B)	Homo sapiens	GO:0001658~branching involved in ureteric bud morphogenesis,GO:0001701~in utero embryonic development,GO:0001932~regulation of protein phosphorylation,GO:0003339~regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,GO:0007267~cell-cell signaling,GO:0007275~multicellular organism development,GO:0009267~cellular response to starvation,GO:0009786~regulation of asymmetric cell division,GO:0016055~Wnt signaling pathway,GO:0030182~neuron differentiation,GO:0030539~male genitalia development,GO:0032526~response to retinoic acid,GO:0035150~regulation of tube size,GO:0043085~positive regulation of catalytic activity,GO:0045165~cell fate commitment,GO:0048701~embryonic cranial skeleton morphogenesis,GO:0060021~palate development,GO:0060070~canonical Wnt signaling pathway,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0061038~uterus morphogenesis,GO:0061303~cornea development in camera-type eye,GO:0071300~cellular response to retinoic acid,GO:0072003~kidney rudiment formation,GO:0072038~mesenchymal stem cell maintenance involved in nephron morphogenesis,GO:0072044~collecting duct development,GO:0072046~establishment of planar polarity involved in nephron morphogenesis,GO:0072174~metanephric tubule formation,GO:0072181~mesonephric duct formation,GO:1902455~negative regulation of stem cell population maintenance,GO:1904948~midbrain dopaminergic neuron differentiation,
XPNPEP2	X-prolyl aminopeptidase 2(XPNPEP2)	Homo sapiens	GO:0006508~proteolysis,
ACPP	acid phosphatase, prostate(ACPP)	Homo sapiens	GO:0006144~purine nucleobase metabolic process,GO:0006772~thiamine metabolic process,GO:0009117~nucleotide metabolic process,GO:0016311~dephosphorylation,GO:0046085~adenosine metabolic process,GO:0051930~regulation of sensory perception of pain,GO:0060168~positive regulation of adenosine receptor signaling pathway,
ACOT12	acyl-CoA thioesterase 12(ACOT12)	Homo sapiens	GO:0006084~acetyl-CoA metabolic process,GO:0006090~pyruvate metabolic process,GO:0006631~fatty acid metabolic process,GO:0006637~acyl-CoA metabolic process,GO:0035338~long-chain fatty-acyl-CoA biosynthetic process,
ADGRA1	adhesion G protein-coupled receptor A1(ADGRA1)	Homo sapiens	GO:0007165~signal transduction,GO:0007166~cell surface receptor signaling pathway,GO:0007186~G-protein coupled receptor signaling pathway,
ADGRF2	adhesion G protein-coupled receptor F2(ADGRF2)	Homo sapiens	GO:0007166~cell surface receptor signaling pathway,GO:0007186~G-protein coupled receptor signaling pathway,
ADGRF3	adhesion G protein-coupled receptor F3(ADGRF3)	Homo sapiens	GO:0007166~cell surface receptor signaling pathway,GO:0007186~G-protein coupled receptor signaling pathway,
AFM	afamin(AFM)	Homo sapiens	GO:0051180~vitamin transport,
AGXT	alanine-glyoxylate aminotransferase(AGXT)	Homo sapiens	GO:0007219~Notch signaling pathway,GO:0009436~glyoxylate catabolic process,GO:0010498~proteasomal protein catabolic process,GO:0019265~glycine biosynthetic process, by transamination of glyoxylate,GO:0019448~L-cysteine catabolic process,GO:0042853~L-alanine catabolic process,GO:0042866~pyruvate biosynthetic process,GO:0046487~glyoxylate metabolic process,GO:0046724~oxalic acid secretion,GO:0051384~response to glucocorticoid,GO:0051591~response to cAMP,
ALB	albumin(ALB)	Homo sapiens	GO:0001895~retina homeostasis,GO:0002576~platelet degranulation,GO:0006810~transport,GO:0006898~receptor-mediated endocytosis,GO:0009267~cellular response to starvation,GO:0015721~bile acid and bile salt transport,GO:0019836~hemolysis by symbiont of host erythrocytes,GO:0042157~lipoprotein metabolic process,GO:0043066~negative regulation of apoptotic process,GO:0043069~negative regulation of programmed cell death,GO:0043252~sodium-independent organic anion transport,GO:0051659~maintenance of mitochondrion location,GO:0098869~cellular oxidant detoxification,
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide(ADH1B)	Homo sapiens	GO:0006069~ethanol oxidation,
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide(ADH1C)	Homo sapiens	GO:0006069~ethanol oxidation,
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide(ADH4)	Homo sapiens	GO:0001523~retinoid metabolic process,GO:0006066~alcohol metabolic process,GO:0006069~ethanol oxidation,GO:0006081~cellular aldehyde metabolic process,GO:0042572~retinol metabolic process,GO:0046164~alcohol catabolic process,GO:1901661~quinone metabolic process,
ALDH3B2	aldehyde dehydrogenase 3 family member B2(ALDH3B2)	Homo sapiens	GO:0006066~alcohol metabolic process,GO:0006068~ethanol catabolic process,GO:0006629~lipid metabolic process,GO:0030148~sphingolipid biosynthetic process,GO:0055114~oxidation-reduction process,
AKR1D1	aldo-keto reductase family 1 member D1(AKR1D1)	Homo sapiens	GO:0006699~bile acid biosynthetic process,GO:0006707~cholesterol catabolic process,GO:0007586~digestion,GO:0008207~C21-steroid hormone metabolic process,GO:0008209~androgen metabolic process,GO:0030573~bile acid catabolic process,GO:0055114~oxidation-reduction process,
ALDOB	aldolase, fructose-bisphosphate B(ALDOB)	Homo sapiens	GO:0006000~fructose metabolic process,GO:0006094~gluconeogenesis,GO:0006096~glycolytic process,GO:0006116~NADH oxidation,GO:0030388~fructose 1,6-bisphosphate metabolic process,GO:0032781~positive regulation of ATPase activity,GO:0061621~canonical glycolysis,GO:0061624~fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate,GO:0070072~vacuolar proton-transporting V-type ATPase complex assembly,
AHSG	alpha 2-HS glycoprotein(AHSG)	Homo sapiens	GO:0001501~skeletal system development,GO:0001503~ossification,GO:0002576~platelet degranulation,GO:0006907~pinocytosis,GO:0006953~acute-phase response,GO:0010951~negative regulation of endopeptidase activity,GO:0030500~regulation of bone mineralization,GO:0030502~negative regulation of bone mineralization,GO:0042326~negative regulation of phosphorylation,GO:0046627~negative regulation of insulin receptor signaling pathway,GO:0050727~regulation of inflammatory response,GO:0050766~positive regulation of phagocytosis,GO:0070168~negative regulation of biomineral tissue development,
TTPA	alpha tocopherol transfer protein(TTPA)	Homo sapiens	GO:0001892~embryonic placenta development,GO:0006629~lipid metabolic process,GO:0006810~transport,GO:0007584~response to nutrient,GO:0009268~response to pH,GO:0009636~response to toxic substance,GO:0042360~vitamin E metabolic process,GO:0046909~intermembrane transport,GO:0051180~vitamin transport,GO:0051452~intracellular pH reduction,GO:0060548~negative regulation of cell death,GO:0090212~negative regulation of establishment of blood-brain barrier,
AMELX	amelogenin, X-linked(AMELX)	Homo sapiens	GO:0001649~osteoblast differentiation,GO:0001837~epithelial to mesenchymal transition,GO:0002062~chondrocyte differentiation,GO:0007155~cell adhesion,GO:0007165~signal transduction,GO:0007275~multicellular organism development,GO:0008283~cell proliferation,GO:0031214~biomineral tissue development,GO:0032967~positive regulation of collagen biosynthetic process,GO:0034505~tooth mineralization,GO:0042475~odontogenesis of dentin-containing tooth,GO:0050801~ion homeostasis,GO:0070166~enamel mineralization,GO:0070172~positive regulation of tooth mineralization,
AMPH	amphiphysin(AMPH)	Homo sapiens	GO:0006897~endocytosis,GO:0007268~chemical synaptic transmission,GO:0043547~positive regulation of GTPase activity,
APCS	amyloid P component, serum(APCS)	Homo sapiens	GO:0002674~negative regulation of acute inflammatory response,GO:0006457~protein folding,GO:0006953~acute-phase response,GO:0044267~cellular protein metabolic process,GO:0044869~negative regulation by host of viral exo-alpha-sialidase activity,GO:0044871~negative regulation by host of viral glycoprotein metabolic process,GO:0045087~innate immune response,GO:0045656~negative regulation of monocyte differentiation,GO:0046597~negative regulation of viral entry into host cell,GO:0048525~negative regulation of viral process,GO:0051131~chaperone-mediated protein complex assembly,GO:0061045~negative regulation of wound healing,GO:1903016~negative regulation of exo-alpha-sialidase activity,GO:1903019~negative regulation of glycoprotein metabolic process,
ASB15	ankyrin repeat and SOCS box containing 15(ASB15)	Homo sapiens	GO:0016567~protein ubiquitination,GO:0035556~intracellular signal transduction,
