ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
LYPD8	LY6/PLAUR domain containing 8(LYPD8)	Homo sapiens				GO:0050829~defense response to Gram-negative bacterium,	GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0031225~anchored component of membrane,		IPR016054:Ly-6 antigen / uPA receptor -like,					Cell membrane,Complete proteome,Glycoprotein,GPI-anchor,Lipoprotein,Membrane,Reference proteome,Secreted,Signal,	chain:Uncharacterized protein UNQ511/PRO1026,glycosylation site:N-linked (GlcNAc...),lipid moiety-binding region:GPI-anchor amidated asparagine,propeptide:Removed in mature form,signal peptide,
MAGEL2	MAGE family member L2(MAGEL2)	Homo sapiens				GO:0006351~transcription, DNA-templated,GO:0034314~Arp2/3 complex-mediated actin nucleation,GO:0042147~retrograde transport, endosome to Golgi,GO:0042752~regulation of circadian rhythm,GO:0045892~negative regulation of transcription, DNA-templated,GO:0048511~rhythmic process,GO:0051127~positive regulation of actin nucleation,GO:0070534~protein K63-linked ubiquitination,	GO:0005634~nucleus,GO:0005768~endosome,GO:0005769~early endosome,GO:0005829~cytosol,GO:0030904~retromer complex,	GO:0004842~ubiquitin-protein transferase activity,GO:0005515~protein binding,	IPR002190:MAGE protein,		615547~Schaaf-Yang syndrome,		SM01373:SM01373,	Autism spectrum disorder,Biological rhythms,Complete proteome,Cytoplasm,Endosome,Mental retardation,Nucleus,Obesity,Reference proteome,Repressor,Transcription,Transcription regulation,Transport,Ubl conjugation pathway,	chain:MAGE-like protein 2,domain:MAGE,
MTRNR2L1	MT-RNR2-like 1(MTRNR2L1)	Homo sapiens					GO:0005576~extracellular region,GO:0005737~cytoplasm,							Complete proteome,Cytoplasm,Reference proteome,Secreted,
MTRNR2L10	MT-RNR2-like 10(MTRNR2L10)	Homo sapiens					GO:0005576~extracellular region,GO:0005737~cytoplasm,							Complete proteome,Cytoplasm,Reference proteome,Secreted,
NAT8L	N-acetyltransferase 8 like(NAT8L)	Homo sapiens					GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0016021~integral component of membrane,GO:0030867~rough endoplasmic reticulum membrane,GO:0031966~mitochondrial membrane,	GO:0008080~N-acetyltransferase activity,GO:0017188~aspartate N-acetyltransferase activity,	IPR000182:GNAT domain,IPR016181:Acyl-CoA N-acyltransferase,	hsa00250:Alanine, aspartate and glutamate metabolism,hsa01100:Metabolic pathways,	614063~N-acetylaspartate deficiency,			Acyltransferase,Complete proteome,Cytoplasm,Endoplasmic reticulum,Membrane,Microsome,Mitochondrion,Proteomics identification,Reference proteome,Transferase,Transmembrane,Transmembrane helix,	chain:N-acetyltransferase 8-like protein,compositionally biased region:Pro-rich,domain:N-acetyltransferase,transmembrane region,
NKAIN4	Na+/K+ transporting ATPase interacting 4(NKAIN4)	Homo sapiens				GO:0002028~regulation of sodium ion transport,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR008516:Na,K-Atpase Interacting protein,					Cell membrane,Complete proteome,Membrane,Polymorphism,Reference proteome,Signal,Transmembrane,Transmembrane helix,	chain:Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 4,sequence variant,transmembrane region,
POU3F4	POU class 3 homeobox 4(POU3F4)	Homo sapiens				GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0007605~sensory perception of sound,GO:0021879~forebrain neuron differentiation,GO:0090103~cochlea morphogenesis,GO:2001054~negative regulation of mesenchymal cell apoptotic process,	GO:0005634~nucleus,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0003680~AT DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,	IPR000327:POU-specific,IPR001356:Homeodomain,IPR009057:Homeodomain-like,IPR010982:Lambda repressor-like, DNA-binding domain,IPR013847:POU domain,IPR016362:Transcription factor, homeobox/POU,IPR017970:Homeobox, conserved site,		304400~Deafness, X-linked 2,	PIRSF002629:POU domain class 3 transcription factor, brain type,	SM00352:POU,SM00389:HOX,	Complete proteome,Deafness,Disease mutation,DNA-binding,Homeobox,Non-syndromic deafness,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,	chain:POU domain, class 3, transcription factor 4,DNA-binding region:Homeobox,domain:POU-specific,sequence conflict,sequence variant,
RAB3B	RAB3B, member RAS oncogene family(RAB3B)	Homo sapiens				GO:0007264~small GTPase mediated signal transduction,GO:0015031~protein transport,GO:0017157~regulation of exocytosis,GO:0018125~peptidyl-cysteine methylation,GO:0019882~antigen processing and presentation,GO:0051586~positive regulation of dopamine uptake involved in synaptic transmission,GO:0097494~regulation of vesicle size,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0008021~synaptic vesicle,GO:0030141~secretory granule,GO:0031982~vesicle,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,	GO:0003924~GTPase activity,GO:0005515~protein binding,GO:0005525~GTP binding,GO:0019003~GDP binding,GO:0030742~GTP-dependent protein binding,GO:0031489~myosin V binding,	IPR001806:Small GTPase superfamily,IPR005225:Small GTP-binding protein domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,					3D-structure,Cell membrane,Complete proteome,GTP-binding,Lipoprotein,Membrane,Methylation,Nucleotide-binding,Phosphoprotein,Prenylation,Protein transport,Reference proteome,Transport,	chain:Ras-related protein Rab-3B,helix,lipid moiety-binding region:S-geranylgeranyl cysteine,modified residue,nucleotide phosphate-binding region:GTP,sequence conflict,short sequence motif:Effector region,strand,turn,
RANBP3L	RAN binding protein 3 like(RANBP3L)	Homo sapiens				GO:0046827~positive regulation of protein export from nucleus,GO:0046907~intracellular transport,	GO:0005634~nucleus,GO:0005829~cytosol,	GO:0008536~Ran GTPase binding,GO:0070412~R-SMAD binding,	IPR000156:Ran binding domain,IPR011993:Pleckstrin homology-like domain,				SM00160:RanBD,	Alternative splicing,Complete proteome,Polymorphism,Reference proteome,	chain:Ran-binding protein 3-like,domain:RanBD1,sequence variant,splice variant,
ROS1	ROS proto-oncogene 1, receptor tyrosine kinase(ROS1)	Homo sapiens				GO:0002066~columnar/cuboidal epithelial cell development,GO:0006468~protein phosphorylation,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007283~spermatogenesis,GO:0008283~cell proliferation,GO:0010629~negative regulation of gene expression,GO:0010966~regulation of phosphate transport,GO:0016049~cell growth,GO:0023014~signal transduction by protein phosphorylation,GO:0030154~cell differentiation,GO:0032006~regulation of TOR signaling,GO:0038083~peptidyl-tyrosine autophosphorylation,GO:0070372~regulation of ERK1 and ERK2 cascade,	GO:0005886~plasma membrane,GO:0009986~cell surface,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0048471~perinuclear region of cytoplasm,	GO:0004713~protein tyrosine kinase activity,GO:0004714~transmembrane receptor protein tyrosine kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0019903~protein phosphatase binding,	IPR000033:LDLR class B repeat,IPR000719:Protein kinase, catalytic domain,IPR001245:Serine-threonine/tyrosine-protein kinase catalytic domain,IPR002011:Tyrosine-protein kinase, receptor class II, conserved site,IPR003961:Fibronectin, type III,IPR008266:Tyrosine-protein kinase, active site,IPR011009:Protein kinase-like domain,IPR011042:Six-bladed beta-propeller, TolB-like,IPR013783:Immunoglobulin-like fold,IPR017441:Protein kinase, ATP binding site,IPR020635:Tyrosine-protein kinase, catalytic domain,				SM00060:FN3,SM00135:LY,SM00219:TyrKc,	3D-structure,ATP-binding,Cell membrane,Chromosomal rearrangement,Complete proteome,Glycoprotein,Kinase,Membrane,Nucleotide-binding,Phosphoprotein,Polymorphism,Proteomics identification,Proto-oncogene,Receptor,Reference proteome,Repeat,Signal,Transferase,Transmembrane,Transmembrane helix,Tyrosine-protein kinase,	active site:Proton acceptor,binding site:ATP,chain:Proto-oncogene tyrosine-protein kinase ROS,domain:Fibronectin type-III 1,domain:Fibronectin type-III 2,domain:Fibronectin type-III 3,domain:Fibronectin type-III 4,domain:Fibronectin type-III 5,domain:Fibronectin type-III 6,domain:Fibronectin type-III 7,domain:Fibronectin type-III 8,domain:Fibronectin type-III 9,domain:Protein kinase,glycosylation site:N-linked (GlcNAc...),modified residue,nucleotide phosphate-binding region:ATP,sequence conflict,sequence variant,signal peptide,site:Breakpoint for translocation to form GOPC-ROS1 fusion protein,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
RHBG	Rh family B glycoprotein (gene/pseudogene)(RHBG)	Homo sapiens				GO:0015695~organic cation transport,GO:0015696~ammonium transport,GO:0019740~nitrogen utilization,GO:0070634~transepithelial ammonium transport,GO:0072488~ammonium transmembrane transport,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0014731~spectrin-associated cytoskeleton,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0030659~cytoplasmic vesicle membrane,GO:0046658~anchored component of plasma membrane,	GO:0008519~ammonium transmembrane transporter activity,GO:0030506~ankyrin binding,	IPR001905:Ammonium transporter,IPR002229:Blood group Rhesus C/E/D polypeptide,IPR024041:Ammonium transporter AmtB-like domain,					Alternative splicing,Ammonia transport,Cell membrane,Complete proteome,Cytoplasmic vesicle,Glycoprotein,Membrane,Polymorphism,Reference proteome,Signal,Transmembrane,Transmembrane helix,Transport,	chain:Ammonium transporter Rh type B,glycosylation site:N-linked (GlcNAc...),mutagenesis site,region of interest:Interaction with ANK3,sequence variant,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
RHCG	Rh family C glycoprotein(RHCG)	Homo sapiens				GO:0006873~cellular ion homeostasis,GO:0006885~regulation of pH,GO:0015695~organic cation transport,GO:0015696~ammonium transport,GO:0015837~amine transport,GO:0019740~nitrogen utilization,GO:0030855~epithelial cell differentiation,GO:0042592~homeostatic process,GO:0070634~transepithelial ammonium transport,GO:0072488~ammonium transmembrane transport,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0016324~apical plasma membrane,GO:0031410~cytoplasmic vesicle,GO:0070062~extracellular exosome,	GO:0008519~ammonium transmembrane transporter activity,GO:0030506~ankyrin binding,	IPR001905:Ammonium transporter,IPR002229:Blood group Rhesus C/E/D polypeptide,IPR024041:Ammonium transporter AmtB-like domain,					3D-structure,Ammonia transport,Cell membrane,Complete proteome,Glycoprotein,Membrane,Polymorphism,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,Transport,	chain:Ammonium transporter Rh type C,glycosylation site:N-linked (GlcNAc...),helix,mutagenesis site,sequence conflict,sequence variant,strand,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,turn,
RHAG	Rh-associated glycoprotein(RHAG)	Homo sapiens				GO:0006873~cellular ion homeostasis,GO:0015670~carbon dioxide transport,GO:0015672~monovalent inorganic cation transport,GO:0015695~organic cation transport,GO:0015696~ammonium transport,GO:0015701~bicarbonate transport,GO:0019740~nitrogen utilization,GO:0035378~carbon dioxide transmembrane transport,GO:0048821~erythrocyte development,GO:0060586~multicellular organismal iron ion homeostasis,GO:0072488~ammonium transmembrane transport,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0008519~ammonium transmembrane transporter activity,GO:0022840~leak channel activity,GO:0030506~ankyrin binding,GO:0035379~carbon dioxide transmembrane transporter activity,	IPR001905:Ammonium transporter,IPR002229:Blood group Rhesus C/E/D polypeptide,IPR024041:Ammonium transporter AmtB-like domain,		185000~Overhydrated hereditary stomatocytosis,268150~Anemia, hemolytic, Rh-null, regulator type,Rh-mod syndrome~Rh-mod syndrome,			Alternative splicing,Ammonia transport,Complete proteome,Direct protein sequencing,Disease mutation,Glycoprotein,Hereditary hemolytic anemia,Membrane,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,Transport,	chain:Ammonium transporter Rh type A,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
UGT1A8	UDP glucuronosyltransferase family 1 member A8(UGT1A8)	Homo sapiens				GO:0006631~fatty acid metabolic process,GO:0008152~metabolic process,GO:0008202~steroid metabolic process,GO:0009804~coumarin metabolic process,GO:0017144~drug metabolic process,GO:0042573~retinoic acid metabolic process,GO:0043086~negative regulation of catalytic activity,GO:0045922~negative regulation of fatty acid metabolic process,GO:0045939~negative regulation of steroid metabolic process,GO:0051552~flavone metabolic process,GO:0052695~cellular glucuronidation,GO:0052696~flavonoid glucuronidation,GO:0052697~xenobiotic glucuronidation,GO:1904224~negative regulation of glucuronosyltransferase activity,GO:2001030~negative regulation of cellular glucuronidation,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,	GO:0001972~retinoic acid binding,GO:0004857~enzyme inhibitor activity,GO:0005496~steroid binding,GO:0005504~fatty acid binding,GO:0008144~drug binding,GO:0015020~glucuronosyltransferase activity,GO:0016758~transferase activity, transferring hexosyl groups,GO:0019899~enzyme binding,GO:0042803~protein homodimerization activity,GO:0046982~protein heterodimerization activity,	IPR002213:UDP-glucuronosyl/UDP-glucosyltransferase,	hsa00040:Pentose and glucuronate interconversions,hsa00053:Ascorbate and aldarate metabolism,hsa00140:Steroid hormone biosynthesis,hsa00830:Retinol metabolism,hsa00860:Porphyrin and chlorophyll metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa00982:Drug metabolism - cytochrome P450,hsa00983:Drug metabolism - other enzymes,hsa01100:Metabolic pathways,hsa05204:Chemical carcinogenesis,				Alternative splicing,Complete proteome,Endoplasmic reticulum,Glycoprotein,Glycosyltransferase,Membrane,Microsome,Polymorphism,Reference proteome,Signal,Transferase,Transmembrane,Transmembrane helix,	chain:UDP-glucuronosyltransferase 1-1,chain:UDP-glucuronosyltransferase 1-10,chain:UDP-glucuronosyltransferase 1-3,chain:UDP-glucuronosyltransferase 1-4,chain:UDP-glucuronosyltransferase 1-5,chain:UDP-glucuronosyltransferase 1-6,chain:UDP-glucuronosyltransferase 1-7,chain:UDP-glucuronosyltransferase 1-8,chain:UDP-glucuronosyltransferase 1-9,glycosylation site:N-linked (GlcNAc...),modified residue,sequence conflict,sequence variant,signal peptide,transmembrane region,
UGT2A1	UDP glucuronosyltransferase family 2 member A1 complex locus(UGT2A1)	Homo sapiens				GO:0007608~sensory perception of smell,GO:0008152~metabolic process,GO:0009593~detection of chemical stimulus,GO:0009813~flavonoid biosynthetic process,GO:0052695~cellular glucuronidation,GO:0052696~flavonoid glucuronidation,	GO:0016021~integral component of membrane,GO:0043231~intracellular membrane-bounded organelle,	GO:0015020~glucuronosyltransferase activity,GO:0016758~transferase activity, transferring hexosyl groups,	IPR002213:UDP-glucuronosyl/UDP-glucosyltransferase,	hsa00040:Pentose and glucuronate interconversions,hsa00053:Ascorbate and aldarate metabolism,hsa00140:Steroid hormone biosynthesis,hsa00830:Retinol metabolism,hsa00860:Porphyrin and chlorophyll metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa00982:Drug metabolism - cytochrome P450,hsa00983:Drug metabolism - other enzymes,hsa01100:Metabolic pathways,hsa05204:Chemical carcinogenesis,				Alternative splicing,Complete proteome,Glycoprotein,Glycosyltransferase,Membrane,Olfaction,Polymorphism,Reference proteome,Sensory transduction,Signal,Transferase,Transmembrane,Transmembrane helix,	chain:UDP-glucuronosyltransferase 2A1,glycosylation site:N-linked (GlcNAc...),sequence variant,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
